date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:53	3746/3746	---M--	200	added ('OK')	image/gif	etag:%222367342615%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons32sw-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons32sw-ie6.gif	(from http://maquette-site.jimdo.com/)
10:26:53	2451/2451	---M--	200	added ('OK')	image/gif	etag:%223914882462%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons16-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons16-ie6.gif	(from http://maquette-site.jimdo.com/)
10:26:54	330/330	---M--	200	added ('OK')	image/gif	etag:%22261639419%22	http://s.jimdo.com/s/img/cc/left.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/cc/left.gif	(from http://maquette-site.jimdo.com/)
10:26:54	2167/2167	---M--	200	added ('OK')	image/gif	etag:%222644165011%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons16sw-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons16sw-ie6.gif	(from http://maquette-site.jimdo.com/)
10:26:54	322/322	---M--	200	added ('OK')	image/gif	etag:%22513297659%22	http://s.jimdo.com/s/img/cc/right.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/cc/right.gif	(from http://maquette-site.jimdo.com/)
10:26:54	2767/2767	---M--	200	added ('OK')	image/gif	etag:%221559400592%22	http://s.jimdo.com/s/js/plugins/tinyLightbox/img/loading.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/js/plugins/tinyLightbox/img/loading.gif	(from http://maquette-site.jimdo.com/)
10:26:55	870/870	---M--	200	added ('OK')	image/gif	etag:%222783209952%22	http://s.jimdo.com/s/js/plugins/tinyLightbox/img/close.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/js/plugins/tinyLightbox/img/close.gif	(from http://maquette-site.jimdo.com/)
10:26:55	585/585	---M--	200	added ('OK')	image/gif	etag:%224123880126%22	http://s.jimdo.com/s/js/plugins/tinyLightbox/img/play-pause.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/js/plugins/tinyLightbox/img/play-pause.gif	(from http://maquette-site.jimdo.com/)
10:26:55	3237/3237	---M--	200	added ('OK')	image/png	etag:%221502779866%22	http://s.jimdo.com/s/js/plugins/tinyLightbox/img/prev.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/js/plugins/tinyLightbox/img/prev.png	(from http://maquette-site.jimdo.com/)
10:26:55	117/117	---M--	200	added ('OK')	image/gif	etag:%223457808983%22	http://s.jimdo.com/s/img/ok.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/ok.gif	(from http://maquette-site.jimdo.com/)
